version,n,b,t,Time(s),mse,mse_perc
3_0,80,8,10,0.001395,0.002586,185.393635%
3_0,80,16,10,0.001198,0.002576,214.961614%
3_0,160,8,10,0.002259,0.002511,111.120108%
3_0,160,16,10,0.001874,0.002499,133.378447%
3_0,160,32,10,0.001882,0.002480,131.787827%
3_0,240,8,10,0.003450,0.002523,73.125506%
3_0,240,16,10,0.002943,0.002768,94.069918%
3_0,240,24,10,0.002939,0.002539,86.394461%
3_0,320,8,10,0.004862,0.002524,51.905434%
3_0,320,16,10,0.004141,0.002616,63.173450%
3_0,320,32,10,0.005574,0.002702,48.467018%
3_0,400,8,10,0.007612,0.003287,43.174805%
3_0,400,16,10,0.006014,0.002584,42.962234%
3_0,480,8,10,0.009253,0.002725,29.453588%
3_0,480,16,10,0.007817,0.002471,31.616165%
3_0,480,24,10,0.007658,0.002478,32.364769%
3_0,480,32,10,0.008766,0.003862,44.058436%
1_2,80,8,10,0.001595,0.004037,253.130225%
1_2,80,16,10,0.001167,0.002480,212.502716%
1_2,160,8,10,0.002053,0.002487,121.138839%
1_2,160,16,10,0.002023,0.002477,122.437029%
1_2,160,32,10,0.002370,0.002527,106.610912%
1_2,240,8,10,0.003320,0.002629,79.193011%
1_2,240,16,10,0.004147,0.002405,57.982401%
1_2,240,24,10,0.003398,0.002502,73.639075%
1_2,320,8,10,0.005037,0.002542,50.460418%
1_2,320,16,10,0.005872,0.002488,42.366119%
1_2,320,32,10,0.006014,0.002498,41.539259%
1_2,400,8,10,0.007704,0.002450,31.803098%
1_2,400,16,10,0.010095,0.003387,33.555499%
1_2,480,8,10,0.011147,0.003288,29.494251%
1_2,480,16,10,0.013674,0.003183,23.280300%
1_2,480,24,10,0.014326,0.002496,17.420195%
1_2,480,32,10,0.014507,0.002649,18.263221%
1_3,80,8,10,0.001597,0.004019,251.646012%
1_3,80,16,10,0.001200,0.002532,211.023124%
1_3,160,8,10,0.002059,0.002518,122.322145%
1_3,160,16,10,0.002006,0.002517,125.494758%
1_3,160,32,10,0.002478,0.002515,101.495558%
1_3,240,8,10,0.003165,0.002506,79.187984%
1_3,240,16,10,0.003364,0.003139,93.305332%
1_3,240,24,10,0.003254,0.002523,77.534143%
1_3,320,8,10,0.004668,0.002534,54.279899%
1_3,320,16,10,0.004775,0.002496,52.261761%
1_3,320,32,10,0.005581,0.002636,47.232139%
1_3,400,8,10,0.008115,0.002404,29.620723%
1_3,400,16,10,0.007805,0.002510,32.164950%
1_3,480,8,10,0.010033,0.002883,28.731768%
1_3,480,16,10,0.010484,0.002533,24.156844%
1_3,480,24,10,0.011326,0.002444,21.581844%
1_3,480,32,10,0.011718,0.002534,21.623128%
1_4,80,8,10,0.001708,0.004316,252.695463%
1_4,80,16,10,0.001243,0.002531,203.604386%
1_4,160,8,10,0.002135,0.002489,116.604961%
1_4,160,16,10,0.002096,0.002582,123.148853%
1_4,160,32,10,0.002701,0.002518,93.234551%
1_4,240,8,10,0.003510,0.002506,71.393709%
1_4,240,16,10,0.003259,0.002524,77.441829%
1_4,240,24,10,0.003564,0.002657,74.560994%
1_4,320,8,10,0.005610,0.003763,67.079678%
1_4,320,16,10,0.005048,0.002506,49.631221%
1_4,320,32,10,0.006175,0.002538,41.099395%
1_4,400,8,10,0.007562,0.002580,34.119601%
1_4,400,16,10,0.008346,0.003425,41.038076%
1_4,480,8,10,0.009889,0.002742,27.728639%
1_4,480,16,10,0.010670,0.002643,24.768840%
1_4,480,24,10,0.012051,0.002519,20.906294%
1_4,480,32,10,0.012303,0.002531,20.568446%
3_1,80,8,10,0.002741,0.004481,163.462503%
3_1,80,16,10,0.001688,0.002535,150.156845%
3_1,160,8,10,0.004019,0.002605,64.829873%
3_1,160,16,10,0.003655,0.003148,86.149737%
3_1,160,32,10,0.002652,0.003250,122.535290%
3_1,240,8,10,0.005852,0.002596,44.350214%
3_1,240,16,10,0.004241,0.002529,59.647858%
3_1,240,24,10,0.003765,0.002573,68.324845%
3_1,320,8,10,0.009190,0.002780,30.246838%
3_1,320,16,10,0.006030,0.002585,42.875327%
3_1,320,32,10,0.005674,0.002556,45.048486%
3_1,400,8,10,0.011893,0.002681,22.547075%
3_1,400,16,10,0.008466,0.002567,30.314015%
3_1,480,8,10,0.017056,0.003077,18.038488%
3_1,480,16,10,0.011483,0.002633,22.925436%
3_1,480,24,10,0.010536,0.002572,24.408908%
3_1,480,32,10,0.011435,0.002530,22.124915%
2_2,80,8,10,0.001754,0.004237,241.531725%
2_2,80,16,10,0.001128,0.002526,223.846149%
2_2,160,8,10,0.002083,0.002891,138.779277%
2_2,160,16,10,0.002405,0.003275,136.166672%
2_2,160,32,10,0.001943,0.002730,140.495699%
2_2,240,8,10,0.003073,0.002588,84.194332%
2_2,240,16,10,0.002737,0.002520,92.082945%
2_2,240,24,10,0.002685,0.002544,94.777711%
2_2,320,8,10,0.004382,0.002512,57.326027%
2_2,320,16,10,0.003928,0.002571,65.437942%
2_2,320,32,10,0.004108,0.002487,60.527272%
2_2,400,8,10,0.006360,0.002537,39.896308%
2_2,400,16,10,0.006111,0.003127,51.172966%
2_2,480,8,10,0.009225,0.003221,34.919477%
2_2,480,16,10,0.008831,0.003899,44.148267%
2_2,480,24,10,0.007595,0.002495,32.846026%
2_2,480,32,10,0.008280,0.002659,32.111860%
2_0,80,8,10,0.001571,0.004100,260.982924%
2_0,80,16,10,0.001117,0.002522,225.843390%
2_0,160,8,10,0.001980,0.002533,127.902926%
2_0,160,16,10,0.001757,0.002509,142.829490%
2_0,160,32,10,0.002541,0.002505,98.578925%
2_0,240,8,10,0.003044,0.002541,83.471305%
2_0,240,16,10,0.002973,0.003133,105.397417%
2_0,240,24,10,0.002787,0.002525,90.622182%
2_0,320,8,10,0.004361,0.002519,57.760852%
2_0,320,16,10,0.004003,0.002534,63.292596%
2_0,320,32,10,0.006330,0.003741,59.100254%
2_0,400,8,10,0.006324,0.002529,39.995104%
2_0,400,16,10,0.005829,0.002535,43.500954%
2_0,480,8,10,0.008629,0.002548,29.533674%
2_0,480,16,10,0.007947,0.002479,31.192244%
2_0,480,24,10,0.008769,0.002722,31.043237%
2_0,480,32,10,0.011193,0.003803,33.972847%
1_1,80,8,10,0.006613,0.003730,56.413067%
1_1,80,16,10,0.002663,0.003125,117.355989%
1_1,160,8,10,0.041481,0.002552,6.153268%
1_1,160,16,10,0.013965,0.002576,18.445062%
1_1,160,32,10,0.009467,0.002577,27.225872%
1_1,240,8,10,0.138787,0.007952,5.729530%
1_1,240,16,10,0.041084,0.002794,6.799481%
1_1,240,24,10,0.030151,0.002597,8.613605%
1_1,320,8,10,0.321549,0.002534,0.788069%
1_1,320,16,10,0.099214,0.002784,2.806456%
1_1,320,32,10,0.066951,0.002505,3.741530%
1_1,400,8,10,0.624433,0.002440,0.390777%
1_1,400,16,10,0.181711,0.005396,2.969444%
1_1,480,8,10,1.072160,0.002739,0.255427%
1_1,480,16,10,0.326997,0.003862,1.181118%
1_1,480,24,10,0.245447,0.002471,1.006684%
1_1,480,32,10,0.219122,0.002481,1.132058%
