version,seed,n,b,t,Time(ms),Mean Squared Error(ms),Mean Squared Error(%)
1_1,7030564,80,8,10,2.374141,7.403831,311.853013%
1_1,7030564,80,16,10,1.195094,2.504673,209.579561%
1_1,7030564,160,8,10,2.094109,2.492730,119.035365%
1_1,7030564,160,16,10,2.198411,2.532247,115.185344%
1_1,7030564,160,32,10,2.508703,2.925948,116.631888%
1_1,7030564,240,8,10,3.367927,2.583049,76.695528%
1_1,7030564,240,16,10,3.410246,2.496760,73.213492%
1_1,7030564,240,24,10,3.427985,2.523038,73.601194%
1_1,7030564,320,8,10,5.924962,2.502580,42.237900%
1_1,7030564,320,16,10,5.752591,2.513105,43.686495%
1_1,7030564,320,32,10,6.057380,2.510823,41.450647%
1_1,7030564,480,8,10,11.312694,2.559870,22.628294%
1_1,7030564,480,16,10,13.564185,2.493413,18.382330%
1_1,7030564,480,24,10,16.942652,6.815248,40.225393%
1_1,7030564,480,32,10,14.078899,2.533221,17.993036%
1_1,7030564,640,8,10,20.722271,3.068716,14.808784%
1_1,7030564,640,16,10,27.302468,2.588957,9.482502%
1_1,7030564,640,32,10,29.501642,3.009273,10.200358%
1_1,7030564,720,8,10,27.505442,3.625438,13.180803%
1_1,7030564,720,16,10,34.534401,3.230385,9.354107%
1_1,7030564,720,24,10,34.602824,3.033482,8.766572%
1_1,7030564,1200,8,10,91.779982,6.563883,7.151759%
1_1,7030564,1200,16,10,126.094904,6.115106,4.849606%
1_1,7030564,1200,24,10,126.469219,4.920068,3.890328%
4_1,7030564,80,8,10,7.519728,4.482889,59.615042%
4_1,7030564,80,16,10,6.034690,2.678077,44.378040%
4_1,7030564,160,8,10,12.803193,2.784556,21.748917%
4_1,7030564,160,16,10,11.634870,2.878442,24.739785%
4_1,7030564,160,32,10,12.041702,3.035980,25.212213%
4_1,7030564,240,8,10,20.947037,3.454060,16.489491%
4_1,7030564,240,16,10,17.677733,2.920546,16.521045%
4_1,7030564,240,24,10,18.560201,3.326682,17.923739%
4_1,7030564,320,8,10,29.930154,5.036447,16.827335%
4_1,7030564,320,16,10,26.371909,4.379490,16.606648%
4_1,7030564,320,32,10,23.701478,3.134403,13.224504%
4_1,7030564,480,8,10,49.465049,4.503869,9.105155%
4_1,7030564,480,16,10,43.604337,6.038362,13.848076%
4_1,7030564,480,24,10,40.287351,4.303241,10.681371%
4_1,7030564,480,32,10,40.535372,4.694820,11.582033%
4_1,7030564,640,8,10,75.733088,10.745760,14.188989%
4_1,7030564,640,16,10,61.849223,4.020598,6.500644%
4_1,7030564,640,32,10,61.936198,6.920101,11.172951%
4_1,7030564,720,8,10,89.845009,4.495000,5.003061%
4_1,7030564,720,16,10,75.278925,6.374699,8.468106%
4_1,7030564,720,24,10,70.781925,4.971521,7.023715%
4_1,7030564,1200,8,10,216.124465,8.860181,4.099573%
4_1,7030564,1200,16,10,172.263167,9.610382,5.578896%
4_1,7030564,1200,24,10,160.526025,8.203805,5.110576%
1_0,7030564,80,8,10,6.591026,3.779595,57.344554%
1_0,7030564,80,16,10,2.737201,2.544024,92.942564%
1_0,7030564,160,8,10,43.863392,12.049222,27.469881%
1_0,7030564,160,16,10,14.026846,2.515497,17.933445%
1_0,7030564,160,32,10,9.431256,2.566749,27.215345%
1_0,7030564,240,8,10,135.785395,2.728657,2.009536%
1_0,7030564,240,16,10,40.668726,2.545085,6.258088%
1_0,7030564,240,24,10,30.020403,2.627587,8.752669%
1_0,7030564,320,8,10,318.718678,2.485807,0.779938%
1_0,7030564,320,16,10,99.578881,2.949871,2.962346%
1_0,7030564,320,32,10,66.730731,2.534401,3.797952%
1_0,7030564,480,8,10,1073.527122,5.602875,0.521913%
1_0,7030564,480,16,10,326.205129,2.686518,0.823567%
1_0,7030564,480,24,10,245.510343,2.566777,1.045486%
1_0,7030564,480,32,10,219.222102,2.574111,1.174202%
1_0,7030564,640,8,10,2542.228719,6.624600,0.260582%
1_0,7030564,640,16,10,765.335592,2.967646,0.387758%
1_0,7030564,640,32,10,513.879842,3.082667,0.599881%
1_0,7030564,720,8,10,3591.561558,6.838881,0.190415%
1_0,7030564,720,16,10,1013.173046,3.170824,0.312960%
1_0,7030564,720,24,10,740.742401,3.070335,0.414494%
1_0,7030564,1200,8,10,16771.495746,9.050835,0.053966%
1_0,7030564,1200,16,10,4692.050690,2.964338,0.063178%
1_0,7030564,1200,24,10,3385.820939,3.266527,0.096477%
2_0,7030564,80,8,10,1.612922,4.224195,261.897089%
2_0,7030564,80,16,10,1.129978,2.598684,229.976505%
2_0,7030564,160,8,10,1.987342,2.506195,126.107866%
2_0,7030564,160,16,10,1.853330,2.627196,141.755437%
2_0,7030564,160,32,10,2.618628,2.557155,97.652500%
2_0,7030564,240,8,10,3.112575,2.584027,83.018945%
2_0,7030564,240,16,10,3.819521,2.905565,76.071448%
2_0,7030564,240,24,10,4.036474,7.117850,176.338283%
2_0,7030564,320,8,10,4.442387,2.616672,58.902382%
2_0,7030564,320,16,10,3.971225,2.571980,64.765410%
2_0,7030564,320,32,10,5.771126,2.522143,43.702794%
2_0,7030564,480,8,10,8.387685,2.563572,30.563524%
2_0,7030564,480,16,10,7.672531,2.524366,32.901344%
2_0,7030564,480,24,10,8.337124,2.570741,30.834860%
2_0,7030564,480,32,10,10.720773,2.540035,23.692652%
2_0,7030564,640,8,10,13.481886,2.546602,18.889065%
2_0,7030564,640,16,10,13.407721,2.733489,20.387424%
2_0,7030564,640,32,10,17.873089,2.499551,13.984997%
2_0,7030564,720,8,10,18.636030,3.184853,17.089762%
2_0,7030564,720,16,10,16.195740,3.409718,21.053177%
2_0,7030564,720,24,10,15.592324,2.541025,16.296643%
2_0,7030564,1200,8,10,52.189135,3.560325,6.821966%
2_0,7030564,1200,16,10,47.519709,5.540089,11.658507%
2_0,7030564,1200,24,10,44.094648,3.399861,7.710371%
1_3,7030564,80,8,10,1.703211,4.184937,245.708679%
1_3,7030564,80,16,10,1.263044,2.602764,206.070803%
1_3,7030564,160,8,10,2.176313,2.587837,118.909252%
1_3,7030564,160,16,10,2.109788,2.575812,122.088656%
1_3,7030564,160,32,10,2.928233,2.752797,94.008818%
1_3,7030564,240,8,10,3.271805,2.550150,77.943196%
1_3,7030564,240,16,10,3.184363,2.584835,81.172763%
1_3,7030564,240,24,10,3.391111,2.569815,75.780932%
1_3,7030564,320,8,10,4.797782,2.564684,53.455621%
1_3,7030564,320,16,10,4.759009,2.586012,54.339302%
1_3,7030564,320,32,10,7.420691,3.258388,43.909490%
